id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
317901,PK-0016,small_airport,"Petaro Airport",25.5448,68.3265,113,AS,PK,PK-SD,"Cadet College Petaro",0,,,,,,,0,2016-05-15T16:46:15+00:00
41636,PK-0003,heliport,"Dalbandin Heliport",28.874799728393555,64.404296875,2776,AS,PK,PK-BA,Dalbandin,0,,,,,,,0,2008-09-01T20:49:24+00:00
41637,PK-0004,heliport,"Gilgit Heliport",35.91780090332031,74.34329986572266,4864,AS,PK,PK-NA,Gilgit,0,,,,,,,0,2008-09-24T09:08:59+00:00
41638,PK-0005,heliport,"Gurha Salim Heliport",32.88130187988281,73.60140228271484,769,AS,PK,PK-PB,"Gurha Salim",0,,,,,,,0,2008-09-01T20:49:26+00:00
317902,PK-0017,small_airport,"Jungshahi Airstrip",24.8366,67.7619,45,AS,PK,PK-SD,Jungshahi,0,,,,,,,0,2016-05-15T17:30:13+00:00
41640,PK-0007,heliport,"Korangi Creek Heliport",24.78219985961914,67.13639831542969,3,AS,PK,PK-SD,Karachi,0,,,,,,,0,2008-09-01T20:49:28+00:00
317903,PK-0018,closed,"Chota Malir Airstrips",24.95,67.173,165,AS,PK,PK-SD,Karachi,0,,,,,,,0,2016-05-15T18:26:12+00:00
317904,PK-0019,closed,"PAF Base Malir",24.97,67.228,205,AS,PK,PK-SD,Karachi,0,,,,,,,0,2016-05-15T18:35:35+00:00
299580,PK-0014,small_airport,"Khanpur Airport",28.6433333333,70.6325,283,AS,PK,PK-PB,Khanpur,0,,,,,,,0,2011-10-09T16:10:54+00:00
317899,PK-0015,small_airport,"Larkana Airport",27.4831,68.1926,167,AS,PK,PK-SD,Larkana,0,,,,,,,0,2016-05-15T15:25:26+00:00
325954,PK-0025,closed,"Notakzai Airport",29.653524,66.383008,5102,AS,PK,PK-BA,Notakzai,0,,,,,,,0,2017-12-25T08:34:00+00:00
41643,PK-0010,heliport,"Nushki Heliport",29.540199279785156,66.02449798583984,3271,AS,PK,PK-BA,Nushki,0,,,,,,,0,2008-09-01T20:49:30+00:00
325955,PK-0026,closed,"Khai Airport",28.273904,70.077635,258,AS,PK,PK-PB,Sadiqabad,0,,,,,,,0,2017-12-25T10:42:14+00:00
325945,PK-0023,closed,"Saranan Airport",30.566843,66.893477,4858,AS,PK,PK-BA,Saranan,0,,,,,,Sārānān,0,2017-12-24T18:21:16+00:00
299579,PK-0013,heliport,"Sialkot Cantonment Airport",32.5147222222,74.52888888890001,2074,AS,PK,PK-PB,Sialkot,0,,,,,https://en.wikipedia.org/wiki/Sialkot_Cantonment_Airport,,0,2011-10-09T14:30:41+00:00
325953,PK-0024,closed,"Spezand Airfield",29.916193,66.987726,5790,AS,PK,PK-BA,Spezand,0,,,,,,,0,2017-12-25T08:08:25+00:00
317905,PK-0020,small_airport,"Sujawal Airport",24.6141,68.0827,30,AS,PK,PK-SD,Sujawal,0,,,,,,,0,2016-05-15T18:55:31+00:00
325944,PK-0022,closed,"Tank Airport",32.19809,70.404027,825,AS,PK,PK-NW,Tank,0,,,,,,,0,2017-12-24T17:54:32+00:00
41644,PK-0011,heliport,"Walton Heliport",31.48979949951172,74.34880065917969,695,AS,PK,PK-PB,Walton,0,,,,,,,0,2008-09-01T20:49:31+00:00
301278,ZIZ,heliport,"Zamzama Heliport",26.710944444400003,67.66725,128,AS,PK,PK-SD,"Zamzama Gas Field",0,,ZIZ,,,,,0,2012-04-21T15:05:52+00:00
